"","habitat1","habitat2","habitat3","habitat4","behavior","type1","type2","source","link"
Chrysiptera uswanasi	typical-habitat	lagoonal-reefs	open-branching	large-branching	coral-colony
Dascyllus abudafur
Dascyllus albisella	rocky-bottom	coral-bottom
Dascyllus aruanus	shallow-lagoon	subtidal-reef
Dascyllus carneus	branch	coral	offshore-reefs	inshore-reefs
Dascyllus flavicaudus	rocky-reef	coral-reef
Dascyllus marginatus	coral
Dascyllus melanurus	lagoon	inlet
Dascyllus reticulatus	outer-lagoon	seaward	reef
Dascyllus strasburgi	rocky-reef	coral-reef
Dascyllus trimaculatus	rocky-reef	coral-reef	anemone	coral-head
Dischistodus chrysopoecilus	coral-outcrop	seagrass	silty-area	lagoon	coastal-reef
Dischistodus melanotus	lagoon	reef	small-patch	sand	rubble
Dischistodus perspicillatus	small-patch	reef	shallow-lagoon	seagrass	habitat
Dischistodus prosopotaenia	lagoon	coastal-reef	silty-area
Dischistodus pseudochrysopoecilus	lagoon	reef	area	coral-thicket	open-area	sand
Hemiglyphidodon plagiometopon	lagoon	coastal-reef	branch	coral	coral-basis
Hypsypops rubicundus	rocky-bottom	crevice
Lepidozygus tapeinosoma	seaward	reef	lagoon	patch	reef
Mecaenichthys immaculatus	inshore-reef	weedy-reef	rocky-reef
Microspathodon bairdii	inshore-reefs	rocky-reefs
Microspathodon chrysurus	coral-reefs	branch	coral
Microspathodon dorsalis	rocky-reef
Neoglyphidodon bonang	coral-reef
Neoglyphidodon carlsoni	reefs
Neoglyphidodon melas	rich-area	lagoon	reef	soft-coral
Neoglyphidodon nigroris
Neoglyphidodon oxyodon	reef	lagoon	inshore-reefs
Neoglyphidodon polyacanthus	lagoon	deeper-surge	reefs
Neoglyphidodon thoracotaeniatus	rich-area	outer-reef
Neopomacentrus aktites	rocky	crevice	coral-formation	shelter
Neopomacentrus anabatoides	coral	rock
Neopomacentrus aquadulcis	freshwater
Neopomacentrus azysron	outer-reef	deeper-surge
Neopomacentrus bankieri	coastal-reef	coral	rock
Neopomacentrus cyanomos	coral-reefs	offshore-reefs	inshore-reefs	outer-reef	habitat
Neopomacentrus filamentosus
Neopomacentrus fuliginosus	inshore-area	rock
Neopomacentrus metallicus	outer-reef
Neopomacentrus miryae	coral-reefs
Neopomacentrus nemurus	coral-reef	area	silting
Neopomacentrus sindensis	inshore-reef	coral-outcrop	rock
Neopomacentrus sororius	coral-reefs	rocky-bottom
Neopomacentrus taeniurus	mangrove	estuary	freshwater	freshwater
Neopomacentrus violascens	lagoon	coastal-reefs	shallow-habitat	deep-sand	coral-rubble	rocky-substrate
Neopomacentrus xanthurus	coral-reef
Nexilosus latifrons	rocky-coast
Parma alboscapularis	rocky-reef
Parma mccullochi	rocky-reef
Parma microlepis	rocky-reef
Parma occidentalis	rocky-reefs	coral-reefs
Parma oligolepis	non-coral-reef	coastal
Parma victoriae	rocky-reefs
Plectroglyphidodon altus	rocky-reefs
Plectroglyphidodon apicalis	coral-outcrop	rubble	area	lagoon	outer-edge	reefs
Plectroglyphidodon aureus	coral-reefs	offshore-reefs	inshore-reefs
Plectroglyphidodon dickii	surge-area	rich-area	clear-lagoon	seaward	reef
Plectroglyphidodon emeryi	outer-rocky	coral-reefs
Plectroglyphidodon fasciolatus	coral-reef	rocky-reef
Plectroglyphidodon gascoynei	rocky-reef	coral-reef
Plectroglyphidodon imparipennis	seaward	reef
Plectroglyphidodon insularis	shallow-rock	coral-reefs
Plectroglyphidodon johnstonianus	outer-reef	coral-habitat	rich-habitat
Plectroglyphidodon leucozonus	shoreline	seaward	reef
Plectroglyphidodon luteobrunneus
Plectroglyphidodon marginatus
Plectroglyphidodon obreptus	rocky	reef-area	dead-area	silt
Plectroglyphidodon phoenixensis	reef
Plectroglyphidodon randalli	inshore-reefs	rocky-reefs
Plectroglyphidodon sagmarius
Pomacentrus adelus	seaward-reef	coastal-reef	open-rubble	patch
Pomacentrus albiaxillaris
Pomacentrus albicaudatus	coral-reefs	offshore-reefs	inshore-reefs
Pomacentrus alexanderae	lagoon	inshore	offshore-reefs
Pomacentrus alleni	rubble	dead-reef	outer-slope	inshore-area
Pomacentrus amboinensis	lagoon	coastal-reef	outer-reef
Pomacentrus aquilus	coral-reefs
Pomacentrus arabicus
Pomacentrus armillatus	silty-reef	hard-coral	soft-coral
Pomacentrus aurifrons	coastal	reef	offshore-platform	reef
Pomacentrus auriventris	inner-reef	rubble	coral
Pomacentrus australis	outer-reef
Pomacentrus baenschi	coral-reefs	offshore-reefs	inshore-reefs
Pomacentrus bankanensis	lagoon	reef	outer-reef
Pomacentrus brachialis	outer-reef	reef
Pomacentrus burroughi	coastal-reef	open-rubble	patch
Pomacentrus caeruleopunctatus
Pomacentrus caeruleus	outer-reef	rubble	reef
Pomacentrus callainus	shallow-reef	coral	shelter
Pomacentrus chrysurus	sandy-area	lagoon	inshore-reef	rock	coral-outcrop
Pomacentrus coelestis	reef	rubble
Pomacentrus flavioculus	outer-reef	lagoon	coral-formation
Pomacentrus flavoaxillaris
Pomacentrus geminospilus	coastal-region	silty-region
Pomacentrus grammorhynchus	lagoon	branching	coral
Pomacentrus imitator	outer-reef
Pomacentrus lepidogenys	lagoon	outer-reef
Pomacentrus leptus	coral-reefs
Pomacentrus littoralis	rock	rubble	coral-reef
Pomacentrus magniseptus	usual-habitat	outer-reef	cliff
Pomacentrus melanochir	coral-reefs
Pomacentrus micronesicus
Pomacentrus microspilus	coral-reef	silt-affected-reef	reef
Pomacentrus milleri	reef	areas	dead-coral
Pomacentrus moluccensis	clear-lagoon	seaward	reef	branching	coral
Pomacentrus nagasakiensis	sandy-area	lagoon	reef
Pomacentrus nigriradiatus
Pomacentrus nigromanus	reef	shelter-water	reef
Pomacentrus nigromarginatus	outer-reef	coral-reefs	rocky-outcrop	sandy-area
Pomacentrus pavo	sandy-area	lagoon	reef	patch	reef	coral-head	rubble
Pomacentrus philippinus	lagoon	reef
Pomacentrus reidi	outer-reef	steep-reef	deep-lagoon
Pomacentrus similis	coral-reef
Pomacentrus smithi	coral-patch	live-patch	silty-area	lagoon	inshore-reef
Pomacentrus spilotoceps	coral-reeg	shallow-reeg	calm-area
Pomacentrus stigma	inshore-reefs
Pomacentrus sulfureus	coral-reefs	area	coral-growth
Pomacentrus taeniometopon	lagoon	coastal-reef	outer-reef
Pomacentrus trichrourus	coral-reefs	offshore-reefs	inshore-reefs
Pomacentrus trilineatus	coral-reef	inshore-area	rocky-area
Pomacentrus tripunctatus	shallow-water	small-rock	sandy-bottom	coral-rubbles
Pomacentrus vaiuli
Pomacentrus vatosoa	reefs
Pomacentrus wardi	lagoon	outer-reef
Pomacentrus xanthosternus	coral-reef	lagoon	offshore-area
Pomachromis fuscidorsalis	area	seaward	outer-channel	reef
Pomachromis richardsoni	rocky-reefs	coral-reefs	area
Pristotis obtusirostris
Pycnochromis abruptus	shallow-water
Pycnochromis acares	seaward	reef
Pycnochromis alleni	outer-reefs	rocky-reefs	coral-reefs
Pycnochromis amboinensis	rich-area	clear-lagoon	seaward	reef
Pycnochromis atripes	rich-area	coral-area	outer-reef
Pycnochromis caudalis	outer-reef	steep-reef
Pycnochromis delta	outer-reef	steep-reef	coral-growth
Pycnochromis dimidiatus	reef
Pycnochromis fatuhivae	rocky
Pycnochromis fieldi	coral-reef	lagoon	outer-reef	area
Pycnochromis hanui	coral-reefs	offshore-reefs	inshore-reefs
Pycnochromis howsoni	rich-area	lagoon	outer-reef	steep-reef	crevice
Pycnochromis iomelas	outer-reef
Pycnochromis leucurus	deep-patch	reef
Pycnochromis lineatus	outer-reef	coral-growth
Pycnochromis margaritifer	coastal-reef	coral-reef	rocky	reef
Pycnochromis nigrurus	seaward	reef	outer-reef	rich-reef
Pycnochromis ovatiformis	rocky-reefs	coral-reefs	outer-reefs	shallow-water
Pycnochromis pacifica
Pycnochromis retrofasciatus	rich-area	clear-lagoon	seaward	reef
Pycnochromis vanderbilti	outer-reef	inshore-reefs	rocky-reefs
Similiparma hermani	rocky-inshore	area
Similiparma lurida	inshore-area	rocky-area	sand	tide-pool
Stegastes acapulcoensis	rocky-reef
Stegastes adustus	rocky-shore
Stegastes albifasciatus
Stegastes arcifrons	rocky-reef	coral-reef
Stegastes baldwini	rocky-reef	coral-reef
Stegastes beebei	rocky-reef	coral-reef
Stegastes diencaeus	rocky-reef	coral-reef	lagoon	inshore-area
Stegastes flavilatus	inshore-reef	rocky-reef
Stegastes fuscus	rocky-bottom	coral-bottom	shore	area
Stegastes imbricatus	rocky-area
Stegastes lacrymatus	clear-lagoon	seaward	reef	area	mixed-coral	rubble	coral-rock	dead-rock
Stegastes leucostictus	seagrass	rocky-reefs	coral-reefs	sandy-area
Stegastes limbatus	inshore-boulder	area
Stegastes lividus	shallow-water
Stegastes nigricans	reef-flats	lagoon	reef
Stegastes otophorus	freshwater	estuary	freshwater-stream
Stegastes partitus	coral-reef	shallow-reef	patch	reef	deeper-water
Stegastes pelicieri	rocky-reef	crevice
Stegastes pictus	rocky-reef	shallow-reef
Stegastes planifrons	coral-reefs	offshore-reefs	inshore-reefs
Stegastes punctatus	coral-reef	area	coral
Stegastes rectifraenum	inshore-reef	rocky-reef
Stegastes rocasensis	outer-reef	shallow-reef	lagoon	rock	pool
Stegastes variabilis	coral-reefs	offshore-reefs	inshore-reefs
Stegastes xanthurus
Teixeirichthys jordani	seagrass	sandy-bottom
